tgt,pert,Liga_SMILES,LigB_SMILES,SelectedIntermediate_SMILES,ScoringMethod,Tanimoto_Liga_LigB,Tanimoto_Liga_Intermediate,Tanimoto_LigB_Intermediate,Average_Tanimoto,LOMAP_Liga_LigB,LOMAP_Liga_Intermediate,LOMAP_LigB_Intermediate,Average_LOMAP,Duration_Mins,Duration_Secs
tnks2,1a~5b,O=c1[nH]c(-c2ccccc2)nc2ccccc12,CC(C)(O)c1ccc(-c2nc3cccc(F)c3c(=O)[nH]2)cc1,CC(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,3D,0.4050632911392405,0.6212121212121212,0.4936708860759494,0.5574415036440353,0.6065306597126334,0.7408182206817179,0.8187307530779818,0.7797744868798498,3.0,25.861676931381226
tnks2,8d~8f,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C4CC[NH2+]CC4)cc3)nc12,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C4CC[NH+](C)CC4)cc3)nc12,Cc1cc(F)cc2c(=O)n(C)c(-c3ccc(C4CC[NH+](C)CC4)cc3)nc12,3D,0.7590361445783133,0.5578947368421052,0.7441860465116279,0.6510403916768666,0.9048374180359595,0.8187307530779818,0.9048374180359595,0.8617840855569707,0.0,23.27233624458313
tnks2,5l~5f,CC(C)(O)c1ccc(-c2nc3c(F)ccc(F)c3c(=O)[nH]2)cc1,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,3D,0.7222222222222222,0.7222222222222222,1.0,0.8611111111111112,0.9048374180359595,0.9048374180359595,1.0,0.9524187090179798,0.0,18.461920499801636
tnks2,5i~5p,Cc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,COC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,3D,0.5056179775280899,0.5625,0.8026315789473685,0.6825657894736843,0.5488116360940264,0.7408182206817179,0.7408182206817179,0.7408182206817179,5.0,28.573898792266846
tnks2,1a~1b,O=c1[nH]c(-c2ccccc2)nc2ccccc12,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,Cc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,3D,0.640625,0.6721311475409836,0.7833333333333333,0.7277322404371585,0.8187307530779818,0.9048374180359595,0.8607079764250578,0.8827726972305087,0.0,52.381680965423584
tnks2,5g~8e,CC(C)(O)c1ccc(-c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,C[NH+]1CCC(c2ccc(-c3nc4c(F)cc(F)cc4c(=O)[nH]3)cc2)CC1,O=c1[nH]c(-c2ccc(C3CCCCC3)cc2)nc2c(Cl)cc(F)cc12,3D,0.36363636363636365,0.4148936170212766,0.6404494382022472,0.5276715276117618,0.15723716631362758,0.18268352405273464,0.8187307530779817,0.5007071385653582,3.0,55.52765250205994
tnks2,3b~8a,CC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,C[NH+]1CCN(c2ccc(-c3nc4ccc(F)cc4c(=O)[nH]3)cc2)CC1,C=C[NH+](C)CCc1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,3D,0.5833333333333334,0.6125,0.5384615384615384,0.5754807692307693,0.18268352405273464,0.5488116360940264,0.14956861922263504,0.3491901276583307,9.0,50.19921827316284
tnks2,3a~5d,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,3D,0.6216216216216216,0.84375,0.7391304347826086,0.7914402173913043,0.8607079764250578,0.951229424500714,0.9048374180359595,0.9280334212683368,1.0,15.09614109992981
