tgt,pert,Liga_SMILES,LigB_SMILES,SelectedIntermediate_SMILES,ScoringMethod,Tanimoto_Liga_LigB,Tanimoto_Liga_Intermediate,Tanimoto_LigB_Intermediate,Average_Tanimoto,LOMAP_Liga_LigB,LOMAP_Liga_Intermediate,LOMAP_LigB_Intermediate,Average_LOMAP,Duration_Mins,Duration_Secs
hif2a,7a~231,C[C@H]1C[C@@H](O)c2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)C2,Cc1cc(F)cc(Oc2ccc(S(C)(=O)=O)c3c2C[C@@H](F)[C@H]3O)c1,3D,0.46808510638297873,0.4835164835164835,0.7972972972972973,0.6404068904068904,0.49658530379140947,0.6065306597126334,0.7788007830714048,0.6926657213920191,3.0,21.142885446548462
hif2a,84~30,O=C1OCc2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c(Cl)c2C#N)c1,O=C1OCc2c(S(=O)(=O)C(F)F)ccc(Oc3cccc(F)c3)c21,3D,0.5340909090909091,0.7402597402597403,0.44565217391304346,0.5929559570863918,0.20189651799465536,0.9048374180359595,0.4065696597405991,0.6557035388882793,10.0,8.533961772918701
hif2a,252~266,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2CC(F)(F)[C@H]3O)c1,O=S(=O)(c1ccc(Oc2ccc(F)c3[nH]ncc23)c2c1[C@H](O)C(F)(F)C2)C(F)(F)F,Cc1ccc(Oc2ccc(S(=O)(=O)CCF)c3c2CC(F)(F)[C@H]3O)c(C=NNN)c1,3D,0.4519230769230769,0.46153846153846156,0.45535714285714285,0.45844780219780223,0.1920499086207541,0.3499377491111554,0.18268352405273464,0.266310636581945,23.0,6.9022216796875
hif2a,224~164,Cn1cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3O)cn1,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@@H](N)C(F)(F)C2,CS(=O)(=O)c1ccc(OC2=CC(F)=CC2)c2c1[C@@H](N)C(F)(F)C2,3D,0.40404040404040403,0.40860215053763443,0.6097560975609756,0.509179124049305,0.009071795328941252,0.44932896411722156,0.022313016014842982,0.23582099006603227,9.0,18.704723358154297
hif2a,215~1,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)CCl)c3c2CC(F)(F)[C@H]3O)c1,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c2c1[C@H](O)CC2)C(F)F,O=S(=O)(CF)c1ccc(Oc2cc(F)cc(Cl)c2)c2c1[C@H](O)CC2,3D,0.4842105263157895,0.5274725274725275,0.7866666666666666,0.657069597069597,0.522045776761016,0.5769498103804866,0.9048374180359595,0.7408936142082231,11.0,45.43227577209473
hif2a,15~237,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@H]3O)c1,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@@H]3O)c1,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@@H]3OS)c1,3D,1.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8187307530779818,0.7408182206817179,0.9048374180359595,0.8228278193588388,1.0,12.785850524902344
hif2a,54~336,CS(=O)(=O)c1ccc(Oc2cc(F)cc(Cl)c2)c(C(F)F)c1CO,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2[C@@H](F)[C@@H](F)[C@H]3O)c1,Cc1c(Oc2cc(F)cc(Cl)c2)ccc(S(N)(=O)=O)c1CO,3D,0.4105263157894737,0.6621621621621622,0.4659090909090909,0.5640356265356266,0.09071795328941246,0.5488116360940264,0.16529888822158656,0.3570552621578065,15.0,23.386478424072266
hif2a,25~156,O=S(=O)(c1ccc(Oc2cncc(Cl)c2)c2c1[C@H](O)C(F)(F)C2)C(F)F,N#Cc1cccc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC[C@H]3O)c1,Cc1cncc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)[C@H]3O)c1,3D,0.4631578947368421,0.6046511627906976,0.4731182795698925,0.5388847211802951,0.5769498103804866,0.8607079764250578,0.6703200460356393,0.7655140112303486,18.0,44.26659417152405
